,Unnamed: 0,Incident ID,Incident Date,year,State,City Or County,Address,Killed,Injured,Operations
116,121,475940,December 31,2015,California,Long Beach,1600 block of Pacific Avenue,0,1,"View Incident
View Source"
116,121,739697,December 31,2016,Louisiana,New Orleans,Frenchman St and Caton St,0,1,"View Incident
View Source"
116,121,1505211,September 16,2019,Colorado,Wheat Ridge,W 38th Ave and Ames St,0,2,"View Incident
View Source"
117,122,1505547,September 16,2019,Ohio,Toledo,1500 block of Elm St,0,2,"View Incident
View Source"
117,122,740599,December 31,2016,Louisiana,Thibodaux,Livas Lane and West Park Ave,1,0,"View Incident
View Source"
117,122,1292774,December 31,2018,New York,Nyack,,0,0,"View Incident
View Source"
117,122,1018317,December 31,2017,Pennsylvania,York,100 block of W Maple St,0,1,"View Incident
View Source"
117,122,475930,December 31,2015,Kentucky,Lexington,Red Mile Road,0,1,"View Incident
View Source"
118,123,739686,December 31,2016,Missouri,Columbia,Clearview Dr,0,0,"View Incident
View Source"
118,123,1019007,December 31,2017,Florida,Pensacola,2607 E Olive Rd,0,0,"View Incident
View Source"
118,123,476343,December 31,2015,New York,Jamaica,109th Ave and Merrick Blvd,1,0,"View Incident
View Source"
118,123,1288993,December 31,2018,North Carolina,Raleigh,7100 block of Plumleaf Rd,0,2,"View Incident
View Source"
118,123,1505161,September 16,2019,Texas,Dallas,7918 Lake June Rd,0,1,"View Incident
View Source"
119,124,1288752,December 31,2018,Ohio,Cincinnati,3627 McHenry Ave,1,0,"View Incident
View Source"
119,124,1506132,September 16,2019,Florida,Opa Locka,NW 22nd Ave and NW 139th St,0,2,"View Incident
View Source"
119,124,1033116,December 31,2017,Indiana,Indianapolis,6700 block of W Hollow Run Dr,0,0,"View Incident
View Source"
119,124,772198,December 31,2016,Missouri,Kansas City,E Gregory Blvd and College Ave,1,0,"View Incident
View Source"
119,124,476437,December 31,2015,Ohio,Columbus,North Central Avenue,0,1,"View Incident
View Source"
120,125,476434,December 31,2015,Pennsylvania,Pittsburgh,9th Avenue and Penn Avenue,0,0,"View Incident
View Source"
120,125,1292257,December 31,2018,Ohio,Ravenna,2400 block of Hazelnut Dr,1,0,"View Incident
View Source"
120,125,1036643,December 31,2017,New York,Bronx,,0,1,"View Incident
View Source"
120,125,741433,December 31,2016,Connecticut,Hamden,Arch Street,0,0,"View Incident
View Source"
120,125,1506118,September 16,2019,Massachusetts,Springfield,900 State Street,0,0,"View Incident
View Source"
121,126,1290732,December 31,2018,Ohio,Cleveland,W 46th St and Storer Ave,0,0,"View Incident
View Source"
121,126,743356,December 31,2016,Indiana,Chesterton,6358 N Calumet Rd,0,0,"View Incident
View Source"
121,126,585853,December 31,2015,Iowa,Independence,,0,0,"View Incident
View Source"
121,126,1506116,September 16,2019,Florida,Leesburg,900 Co Rd 468,1,0,"View Incident
View Source"
121,126,1017422,December 31,2017,Illinois,Chicago,2335 Howard St,0,4,"View Incident
View Source"
122,127,1506109,September 16,2019,Florida,Mount Dora,US 441,0,0,"View Incident
View Source"
122,127,476430,December 31,2015,Ohio,Ottawa (county),State Rt. 2,1,0,"View Incident
View Source"
122,127,1289663,December 31,2018,New Jersey,Pleasantville,N New Rd and W Adams Ave,0,1,"View Incident
View Source"
122,127,1019612,December 31,2017,Alabama,Birmingham,10th Street South,0,0,"View Incident
View Source"
122,127,741422,December 31,2016,Arkansas,Jonesboro,300 block of Greenmeadow Lane,0,0,"View Incident
View Source"
123,128,1019604,December 31,2017,Alabama,Opp,Mullins Street,0,1,"View Incident
View Source"
123,128,1346595,December 31,2018,Pennsylvania,Indiana,500 block of Philadelphia St,0,0,"View Incident
View Source"
123,128,1505140,September 16,2019,Michigan,Sterling Heights,40000 block of Bonaparte Ave,0,1,"View Incident
View Source"
123,128,476418,December 31,2015,Mississippi,Yazoo City,Highway 49,0,1,"View Incident
View Source"
123,128,743340,December 31,2016,Indiana,Fort Wayne,,0,0,"View Incident
View Source"
124,129,743338,December 31,2016,Indiana,Fort Wayne,,0,0,"View Incident
View Source"
124,129,1290712,December 31,2018,Pennsylvania,Pittsburgh,Mellon St and Hayes St,0,0,"View Incident
View Source"
124,129,476415,December 31,2015,Mississippi,Jackson,Lawrence Road,0,1,"View Incident
View Source"
